partner,bic_koda,bancna_oznaka
68297530,ABANSI2X,05
98026305,BAKOSI2X,10
92582087,BSLJSI2X,1
77752252,KSPKSI22,34
38198312,BFKKSI22,35
47523638,HDELSI22,61
18787762,SZKBSI2X,19
27516407,FCTBSI2X,27
42780071,GORESI2X,7
40451372,HLONSI22,60
75482894,HAABSI22,33
94314527,KBMASI2X,4
91132550,LJBASI2X,2
24009725,PBSLSI22,90
78184495,HKVISI22,64
29370876,KREKSI22,24
41561767,SABRSI2X,30
40502368,SKBASI2X,03
59622806,BACXSI22,29
62066510,VSGKSI22,37
42820600,PROB SI 2X,25
82155135,SIDR SI 22,38
42846811,KDDS SI 22,79
